2026-07-28 22:07:08 | INFO     | src.predict | Spam classifier and vectorizer loaded successfully.
2026-07-28 22:08:54 | INFO     | src.predict | Spam classifier and vectorizer loaded successfully.
2026-07-28 22:17:16 | INFO     | src.predict | Spam classifier and vectorizer loaded successfully.
2026-07-28 22:17:45 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=40, final=Spam
2026-07-28 22:19:59 | INFO     | src.predict | Spam classifier and vectorizer loaded successfully.
2026-07-28 22:20:22 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=40, final=Spam
2026-07-28 22:21:44 | INFO     | src.predict | Analyzed email: spam=spam (66.7%), urls=0, risk_score=67, final=Spam
2026-07-28 22:22:09 | INFO     | src.predict | Analyzed email: spam=ham (59.6%), urls=1, risk_score=45, final=Spam
2026-07-28 22:22:23 | INFO     | src.predict | Analyzed email: spam=ham (78.4%), urls=1, risk_score=40, final=Spam
2026-07-28 22:22:51 | INFO     | src.predict | Analyzed email: spam=ham (70.1%), urls=1, risk_score=40, final=Spam
2026-07-28 22:23:08 | INFO     | src.predict | Analyzed email: spam=ham (75.2%), urls=1, risk_score=0, final=Safe
2026-07-28 22:23:32 | INFO     | src.predict | Analyzed email: spam=ham (91.4%), urls=3, risk_score=45, final=Spam
2026-07-28 22:24:21 | INFO     | src.predict | Analyzed email: spam=ham (90.2%), urls=0, risk_score=0, final=Safe
2026-07-28 22:24:42 | INFO     | src.predict | Analyzed email: spam=ham (90.2%), urls=0, risk_score=0, final=Safe
2026-07-28 22:24:55 | INFO     | src.predict | Analyzed email: spam=ham (66.9%), urls=1, risk_score=45, final=Spam
2026-07-28 22:25:18 | INFO     | src.predict | Analyzed email: spam=ham (75.2%), urls=1, risk_score=0, final=Safe
2026-07-28 22:35:54 | INFO     | src.predict | Spam classifier and vectorizer loaded successfully.
2026-07-28 22:36:15 | INFO     | src.predict | Analyzed email: spam=ham (75.2%), urls=1, risk_score=30, final=Safe
2026-07-28 22:36:42 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=30, final=Safe
2026-07-28 22:37:14 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=40, final=Spam
2026-07-28 22:37:23 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=30, final=Safe
2026-07-28 22:44:45 | INFO     | src.predict | Spam classifier and vectorizer loaded successfully.
2026-07-28 22:45:02 | INFO     | src.predict | Analyzed email: spam=ham (75.2%), urls=1, risk_score=30, final=Safe
2026-07-28 22:48:20 | INFO     | src.predict | Spam classifier and vectorizer loaded successfully.
2026-07-28 22:50:23 | INFO     | src.predict | Spam classifier and vectorizer loaded successfully.
2026-07-28 23:21:08 | INFO     | src.predict | Spam classifier and vectorizer loaded successfully.
2026-07-28 23:21:49 | INFO     | src.predict | Analyzed email: spam=ham (67.0%), urls=1, risk_score=40, final=Spam
2026-07-28 23:22:11 | INFO     | src.predict | Analyzed email: spam=ham (67.0%), urls=1, risk_score=40, final=Spam
2026-07-28 23:22:39 | INFO     | src.predict | Analyzed email: spam=ham (65.7%), urls=0, risk_score=50, final=Spam
2026-07-28 23:22:57 | INFO     | src.predict | Analyzed email: spam=ham (71.7%), urls=1, risk_score=75, final=Phishing
2026-07-28 23:23:18 | INFO     | src.predict | Analyzed email: spam=ham (71.7%), urls=2, risk_score=75, final=Phishing
2026-07-28 23:23:38 | INFO     | src.predict | Analyzed email: spam=ham (67.2%), urls=2, risk_score=85, final=Phishing
2026-07-28 23:23:54 | INFO     | src.predict | Analyzed email: spam=spam (51.0%), urls=0, risk_score=51, final=Spam
2026-07-28 23:24:15 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=45, final=Spam
2026-07-28 23:24:35 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=40, final=Spam
2026-07-28 23:24:58 | INFO     | src.predict | Analyzed email: spam=ham (59.1%), urls=1, risk_score=55, final=Phishing
